scenario_id,attacker,defender,att_avg_threat,att_avg_tech_gen,att_modern_pct,att_avg_stealth,att_avg_ew,att_fighter_count,att_sam_count,att_uav_count,att_military_budget,att_aircraft_count,att_zone,dfn_avg_threat,dfn_avg_tech_gen,dfn_modern_pct,dfn_avg_stealth,dfn_avg_ew,dfn_fighter_count,dfn_sam_count,dfn_uav_count,dfn_military_budget,dfn_aircraft_count,dfn_zone,threat_ratio,tech_ratio,number_ratio,budget_ratio,outcome,attacker_win_probability
NAV_0001,France,Japan,8.78,4.82,81.01,3.34,6.81,37,22,22,170.18,113,Maritime,8.79,4.1,62.92,5.8,8.34,42,16,20,47.73,59,Maritime,0.999,1.176,1.915,3.565,0,0.347
NAV_0002,UK,Japan,9.21,5.01,93.88,5.64,8.36,33,58,13,101.53,69,Maritime,7.54,4.94,76.1,5.63,8.32,102,38,6,59.55,62,Maritime,1.221,1.014,1.113,1.705,0,0.424
NAV_0003,Japan,Australia,6.38,4.99,85.92,8.05,9.38,38,57,41,115.74,44,Maritime,9.49,5.43,64.47,5.52,9.41,61,15,13,209.2,35,Maritime,0.672,0.919,1.257,0.553,0,0.255
NAV_0004,India,Japan,9.23,4.38,71.8,8.32,7.66,60,63,43,240.42,81,Maritime,6.15,5.15,87.43,3.78,6.32,67,58,31,230.11,109,Maritime,1.501,0.85,0.743,1.045,0,0.461
NAV_0005,Japan,China,8.08,5.34,94.92,8.74,8.53,37,51,23,96.94,93,Maritime,6.18,4.33,77.3,7.87,6.67,70,61,12,69.47,96,Maritime,1.307,1.233,0.969,1.395,1,0.53
NAV_0006,India,UK,8.18,4.49,75.54,3.89,8.8,38,22,41,124.78,17,Maritime,6.51,4.5,80.19,4.23,6.81,90,11,12,105.09,110,Maritime,1.257,0.998,0.155,1.187,0,0.377
NAV_0007,UK,Japan,7.67,4.61,94.5,3.57,7.89,50,40,14,94.79,58,Maritime,7.1,4.32,84.01,8.78,9.09,40,79,17,118.65,103,Maritime,1.08,1.067,0.563,0.799,0,0.47
NAV_0008,Russia,Australia,6.67,4.62,73.36,7.73,8.24,119,69,32,271.56,90,Maritime,9.07,4.38,80.33,7.05,8.56,73,65,21,268.22,98,Maritime,0.735,1.055,0.918,1.012,0,0.391
NAV_0009,Russia,France,6.37,4.66,83.51,6.59,7.18,83,17,34,200.36,21,Maritime,7.55,5.32,79.73,8.39,8.87,117,26,6,235.22,105,Maritime,0.844,0.876,0.2,0.852,1,0.612
NAV_0010,France,China,8.98,5.43,78.18,3.06,7.04,86,60,46,253.21,29,Maritime,7.27,4.4,90.2,7.56,6.14,72,26,46,245.98,11,Maritime,1.235,1.234,2.636,1.029,0,0.452
NAV_0011,UK,China,8.06,4.3,85.75,6.36,8.04,51,45,20,156.51,42,Maritime,7.58,4.76,93.17,4.43,6.94,103,31,15,88.33,47,Maritime,1.063,0.903,0.894,1.772,0,0.357
NAV_0012,USA,Russia,9.32,4.98,64.41,7.99,9.13,30,29,20,187.67,90,Maritime,8.74,4.74,89.71,8.49,6.11,63,51,38,21.11,78,Maritime,1.066,1.051,1.154,8.89,1,0.709
NAV_0013,Japan,India,8.71,4.97,83.97,6.68,6.71,111,65,15,77.76,89,Maritime,9.34,4.12,81.88,7.08,6.69,83,55,21,40.2,100,Maritime,0.933,1.206,0.89,1.934,0,0.441
NAV_0014,USA,Japan,7.69,4.54,68.61,5.19,7.63,76,30,26,166.0,66,Maritime,9.09,4.23,92.62,5.73,6.84,71,77,11,249.65,46,Maritime,0.846,1.073,1.435,0.665,0,0.301
NAV_0015,UK,Japan,8.92,4.25,88.17,3.49,7.96,64,13,49,166.58,114,Maritime,7.0,4.07,82.81,3.31,7.8,39,53,27,144.79,79,Maritime,1.274,1.044,1.443,1.15,0,0.499
NAV_0016,Russia,UK,7.31,4.26,87.39,4.62,6.4,119,53,18,215.56,74,Maritime,7.5,4.02,66.97,3.21,8.19,102,38,23,284.84,18,Maritime,0.975,1.06,4.111,0.757,0,0.464
